Comment,Designator,Footprint,LCSC
SW_PUSH,SW23,CherryMX_Hotswap_1u,
D,D29,D3_TH_SMD,
D,D3,D3_TH_SMD,
D,D39,D3_TH_SMD,
SW_PUSH,SW3,CherryMX_Hotswap_1u,
D,D33,D3_TH_SMD,
D,D6,D3_TH_SMD,
SW_PUSH,SW8,CherryMX_Hotswap_1u,
SW_PUSH,SW39,CherryMX_Hotswap_1u,
D,D20,D3_TH_SMD,
D,D9,D3_TH_SMD,
D,D52,D3_TH_SMD,
SW_PUSH,SW32,CherryMX_Hotswap_1u,
D,D18,D3_TH_SMD,
D,D48,D3_TH_SMD,
SW_PUSH,SW35,CherryMX_Hotswap_1.75u,
D,D38,D3_TH_SMD,
SW_PUSH,SW6,CherryMX_Hotswap_1u,
D,D24,D3_TH_SMD,
SW_PUSH,SW19,CherryMX_Hotswap_1u,
D,D45,D3_TH_SMD,
SW_PUSH,SW43,CherryMX_Hotswap_1u,
D,D40,D3_TH_SMD,
SW_PUSH,SW30,CherryMX_Hotswap_1u,
D,D23,D3_TH_SMD,
SW_PUSH,SW13,CherryMX_Hotswap_1.25u,
SW_PUSH,SW28,CherryMX_Hotswap_1u,
D,D43,D3_TH_SMD,
SW_PUSH,SW42,CherryMX_Hotswap_1u,
D,D46,D3_TH_SMD,
SW_PUSH,SW16,CherryMX_Hotswap_1u,
SW_PUSH,SW15,CherryMX_Hotswap_1u,
SW_PUSH,SW41,CherryMX_Hotswap_1u,
SW_PUSH,SW44,CherryMX_Hotswap_1u,
SW_PUSH,SW47,CherryMX_Hotswap_1.25u,
SW_PUSH,SW4,CherryMX_Hotswap_1u,
SW_PUSH,SW40,CherryMX_Hotswap_1u,
SW_PUSH,SW50,CherryMX_Hotswap_6.25u,
SW_PUSH,SW22,CherryMX_Hotswap_1u,
SW_PUSH,SW27,CherryMX_Hotswap_1u,
D,D28,D3_TH_SMD,
SW_PUSH,SW52,CherryMX_Hotswap_1.5u,
SW_PUSH,SW24,CherryMX_Hotswap_1u,
SW_PUSH,SW37,CherryMX_Hotswap_1u,
D,D4,D3_TH_SMD,
SW_PUSH,SW20,CherryMX_Hotswap_1u,
D,D14,D3_TH_SMD,
SW_PUSH,SW2,CherryMX_Hotswap_1u,
D,D10,D3_TH_SMD,
D,D41,D3_TH_SMD,
D,D1,D3_TH_SMD,
SW_PUSH,SW1,CherryMX_Hotswap_1u,
SW_PUSH,SW12,CherryMX_Hotswap_1.25u,
D,D51,D3_TH_SMD,
SW_PUSH,SW49,CherryMX_Hotswap_1u,
D,D34,D3_TH_SMD,
D,D15,D3_TH_SMD,
D,D2,D3_TH_SMD,
D,D27,D3_TH_SMD,
SW_PUSH,SW17,CherryMX_Hotswap_1u,
SW_PUSH,SW21,CherryMX_Hotswap_1u,
D,D25,D3_TH_SMD,
SW_PUSH,SW5,CherryMX_Hotswap_1u,
D,D12,D3_TH_SMD,
D,D21,D3_TH_SMD,
RESET_SWITCH,SW53,ResetSW_1side,
SW_PUSH,SW29,CherryMX_Hotswap_1u,
SW_PUSH,SW26,CherryMX_Hotswap_1u,
D,D16,D3_TH_SMD,
D,D7,D3_TH_SMD,
SW_PUSH,SW25,CherryMX_Hotswap_1.5u,
SW_PUSH,SW36,CherryMX_Hotswap_2u,
D,D22,D3_TH_SMD,
D,D36,D3_TH_SMD,
D,D50,D3_TH_SMD,
D,D8,D3_TH_SMD,
SW_PUSH,SW51,CherryMX_Hotswap_1.25u,
D,D35,D3_TH_SMD,
D,D11,D3_TH_SMD,
SW_PUSH,SW7,CherryMX_Hotswap_1u,
D,D32,D3_TH_SMD,
SW_PUSH,SW18,CherryMX_Hotswap_1u,
SW_PUSH,SW14,CherryMX_Hotswap_1u,
SW_PUSH,SW33,CherryMX_Hotswap_1u,
D,D26,D3_TH_SMD,
SW_PUSH,SW48,CherryMX_Hotswap_1u,
D,D17,D3_TH_SMD,
D,D19,D3_TH_SMD,
D,D31,D3_TH_SMD,
SW_PUSH,SW11,CherryMX_Hotswap_1u,
SW_PUSH,SW34,CherryMX_Hotswap_1u,
D,D49,D3_TH_SMD,
SW_PUSH,SW45,CherryMX_Hotswap_1u,
D,D47,D3_TH_SMD,
SW_PUSH,SW38,CherryMX_Hotswap_1u,
SW_PUSH,SW46,CherryMX_Hotswap_1.25u,
D,D42,D3_TH_SMD,
SW_PUSH,SW9,CherryMX_Hotswap_1u,
D,D44,D3_TH_SMD,
SW_PUSH,SW10,CherryMX_Hotswap_1u,
D,D5,D3_TH_SMD,
SW_PUSH,SW31,CherryMX_Hotswap_1u,
ProMicro,U1,ProMicro_v2_1side,
D,D37,D3_TH_SMD,
D,D30,D3_TH_SMD,
D,D13,D3_TH_SMD,
Conn_01x03,J1L1,StripLED_1side,
